DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Total"
"140047 RORAINOPOLIS";1;1;-;-;-;-;-;-;-;-;-;1;-;3
"140060 SAO LUIZ";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"140070 UIRAMUTA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150010 ABAETETUBA";1;-;2;1;-;2;3;-;-;1;-;-;-;10
"150013 ABEL FIGUEIREDO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150020 ACARA";1;2;3;5;6;-;-;1;1;-;-;-;-;19
"150030 AFUA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150034 AGUA AZUL DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150040 ALENQUER";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150060 ALTAMIRA";2;-;1;1;1;-;-;-;-;-;2;1;-;8
"150080 ANANINDEUA";-;-;-;-;-;-;1;-;2;-;-;1;-;4
"150085 ANAPU";4;1;2;2;5;6;6;10;13;-;-;-;-;49
"150095 AURORA DO PARA";-;-;-;-;-;-;1;2;1;-;1;-;-;5
"150120 BAIAO";2;1;-;3;5;4;4;6;7;9;5;2;-;48
"150125 BANNACH";-;-;-;-;-;1;2;-;-;-;-;-;-;3
"150130 BARCARENA";1;9;2;4;-;3;-;3;-;3;3;-;-;28
"150140 BELEM";6;7;12;12;8;8;8;19;7;3;5;4;-;99
"150150 BENEVIDES";1;-;-;-;-;-;1;-;-;-;-;-;-;2
"150157 BOM JESUS DO TOCANTINS";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"150170 BRAGANCA";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"150172 BRASIL NOVO";-;-;-;1;2;1;3;-;-;-;-;-;-;7
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;-;1;-;1;1;-;6;6;2;-;17
"150178 BREU BRANCO";-;-;-;-;1;-;-;-;-;-;1;-;-;2
"150210 CAMETA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150215 CANAA DOS CARAJAS";1;1;1;-;1;2;1;7;3;2;-;-;-;19
"150230 CAPITAO POCO";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"150240 CASTANHAL";1;3;9;2;2;4;6;3;2;3;3;4;-;42
"150260 COLARES";1;-;-;-;-;1;-;-;-;-;-;-;-;2
"150270 CONCEICAO DO ARAGUAIA";1;1;2;3;2;3;1;1;-;-;1;-;-;15
"150275 CONCORDIA DO PARA";2;1;-;2;1;3;-;2;-;1;1;-;-;13
"150277 CURIONOPOLIS";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"150285 CURUA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150293 DOM ELISEU";-;-;-;-;-;-;-;1;1;12;-;-;-;14
"150295 ELDORADO DOS CARAJAS";-;-;-;-;-;-;-;-;1;-;2;-;-;3
"150304 FLORESTA DO ARAGUAIA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150320 IGARAPE-ACU";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"150330 IGARAPE-MIRI";7;2;8;5;17;17;25;34;11;12;1;-;-;139
"150345 IPIXUNA DO PARA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150350 IRITUIA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150360 ITAITUBA";3;2;4;3;2;2;3;8;2;3;6;1;-;39
"150370 ITUPIRANGA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150380 JACUNDA";1;-;-;-;1;2;-;1;1;-;1;-;-;7
"150405 MAE DO RIO";1;-;3;3;2;1;3;12;4;3;-;-;-;32
"150442 MARITUBA";3;1;-;2;2;2;1;-;-;-;-;-;-;11
"150445 MEDICILANDIA";2;1;2;2;1;1;-;1;-;-;-;-;-;10
"150460 MOCAJUBA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150470 MOJU";1;1;1;1;2;-;-;-;1;-;-;-;-;7
"150475 MOJUI DOS CAMPOS";-;-;-;-;-;-;-;-;1;2;-;-;-;3
"150490 MUANA";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150497 NOVA IPIXUNA";-;1;-;-;-;1;-;-;-;-;-;-;-;2
"150503 NOVO PROGRESSO";-;-;1;-;-;-;-;-;-;-;-;2;-;3
"150506 NOVO REPARTIMENTO";-;-;2;1;-;-;5;1;-;-;-;-;-;9
"150510 OBIDOS";-;-;1;-;-;-;3;2;1;1;1;1;-;10
"150530 ORIXIMINA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150540 OUREM";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150543 OURILANDIA DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150548 PACAJA";-;1;-;1;-;-;-;1;4;4;1;-;-;12
"150549 PALESTINA DO PARA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"150550 PARAGOMINAS";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"150553 PARAUAPEBAS";4;7;10;8;18;15;8;3;4;3;-;-;-;80
"150555 PAU D'ARCO";-;-;-;-;-;-;1;-;1;1;13;3;-;19
"150563 PICARRA";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150565 PLACAS";-;-;2;-;-;3;-;-;-;-;-;-;-;5
"150570 PONTA DE PEDRAS";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"150600 PRAINHA";-;-;-;-;-;-;-;-;-;-;4;5;-;9
"150611 QUATIPURU";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150613 REDENCAO";-;-;-;-;-;-;1;-;1;1;-;-;-;3
"150618 RONDON DO PARA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150619 RUROPOLIS";-;2;-;1;1;-;1;3;1;3;-;-;-;12
"150620 SALINOPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150635 SANTA BARBARA DO PARA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150650 SANTA IZABEL DO PARA";6;13;15;17;9;4;6;6;-;-;-;-;-;76
"150655 SANTA LUZIA DO PARA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150660 SANTA MARIA DO PARA";1;1;1;3;2;3;-;2;1;-;1;-;-;15
"150670 SANTANA DO ARAGUAIA";2;8;6;7;5;11;10;16;30;14;15;13;-;137
"150680 SANTAREM";14;20;16;20;37;25;34;19;59;67;41;5;-;357
"150700 SANTO ANTONIO DO TAUA";1;-;-;1;1;-;1;-;1;-;-;-;-;5
"150720 SAO DOMINGOS DO CAPIM";-;-;-;-;-;-;1;-;2;-;-;-;-;3
"150730 SAO FELIX DO XINGU";-;-;-;-;1;-;-;-;2;-;-;-;-;3
"150745 SAO GERALDO DO ARAGUAIA";-;-;2;3;1;4;1;1;2;1;-;-;-;15
"150760 SAO MIGUEL DO GUAMA";2;-;-;-;3;1;4;4;4;4;3;-;-;25
"150775 SAPUCAIA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150790 SOURE";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150795 TAILANDIA";1;3;1;4;4;2;4;1;-;-;-;-;-;20
"150796 TERRA ALTA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150800 TOME-ACU";1;4;8;2;2;1;4;2;-;1;-;-;-;25
"150805 TRAIRAO";4;1;2;-;-;-;2;1;1;2;-;-;-;13
"150808 TUCUMA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150810 TUCURUI";-;1;3;2;-;-;-;-;1;1;-;-;-;8
"150815 URUARA";-;2;2;1;3;-;2;1;3;11;30;11;4;70
"150830 VISEU";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150835 VITORIA DO XINGU";1;1;1;2;1;1;-;-;2;-;2;-;-;11
"150840 XINGUARA";-;3;2;4;2;1;2;-;5;6;1;1;-;27
"160010 AMAPA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"160015 PEDRA BRANCA DO AMAPARI";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"160020 CALCOENE";-;-;-;1;-;1;1;-;2;2;9;2;-;18
"160023 FERREIRA GOMES";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"160025 ITAUBAL";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"160030 MACAPA";4;6;2;5;2;8;9;6;10;7;-;-;-;59
"160040 MAZAGAO";1;-;-;-;-;-;1;-;-;-;-;-;-;2
"160060 SANTANA";1;-;1;1;-;-;-;-;1;-;-;-;-;4
"160070 TARTARUGALZINHO";-;4;3;2;7;1;1;3;1;1;-;-;-;23
"170030 AGUIARNOPOLIS";-;2;1;-;-;-;1;-;-;-;-;-;-;4
"170035 ALIANCA DO TOCANTINS";1;2;2;7;8;2;3;2;5;2;2;-;-;36
"170070 ALVORADA";-;-;2;-;-;-;2;-;-;1;-;1;-;6
"170100 ANANAS";-;-;1;-;2;8;1;-;-;1;-;1;-;14
"170105 ANGICO";1;-;-;-;-;-;1;-;-;1;-;-;-;3
"170130 ARAGOMINAS";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"170190 ARAGUACEMA";-;-;-;-;1;1;-;1;-;-;-;-;-;3
"170200 ARAGUACU";5;1;3;4;3;1;2;-;1;5;5;4;1;35
"170210 ARAGUAINA";131;163;219;268;366;336;338;330;280;226;229;173;95;3154
"170215 ARAGUANA";-;-;1;-;1;1;-;2;2;2;-;-;-;9
"170220 ARAGUATINS";1;3;2;2;7;2;3;5;3;2;2;1;-;33
"170230 ARAPOEMA";3;4;1;3;3;4;3;9;2;3;-;5;-;40
"170240 ARRAIAS";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"170255 AUGUSTINOPOLIS";1;2;-;1;1;2;4;4;3;5;3;1;-;27
"170290 AXIXA DO TOCANTINS";3;-;-;1;2;1;2;2;3;-;5;-;-;19
"170300 BABACULANDIA";-;-;-;-;4;3;3;5;3;2;2;3;1;26
"170305 BANDEIRANTES DO TOCANTINS";-;1;1;-;-;-;-;2;1;-;-;-;-;5
"170307 BARRA DO OURO";-;-;-;-;1;-;1;3;-;-;1;3;-;9
"170330 BOM JESUS DO TOCANTINS";-;-;-;-;-;1;-;-;-;1;-;2;-;4
"170360 BRASILANDIA DO TOCANTINS";-;-;-;-;-;1;-;-;-;2;-;-;-;3
"170370 BREJINHO DE NAZARE";-;-;-;-;-;-;1;-;-;-;-;-;1;2
"170380 BURITI DO TOCANTINS";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"170382 CACHOEIRINHA";-;-;1;1;-;-;-;1;-;2;1;2;2;10
"170384 CAMPOS LINDOS";-;-;-;-;-;1;5;-;2;4;7;10;-;29
"170388 CARMOLANDIA";-;-;-;1;-;-;-;1;-;1;-;-;1;4
"170389 CARRASCO BONITO";-;-;-;-;-;-;1;-;2;2;2;-;-;7
"170390 CASEARA";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"170410 CENTENARIO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"170510 CHAPADA DA NATIVIDADE";-;-;-;-;-;-;-;1;-;1;3;-;-;5
"170550 COLINAS DO TOCANTINS";-;4;-;-;1;5;2;2;1;1;3;-;-;19
"170560 CONCEICAO DO TOCANTINS";-;-;-;-;1;-;1;4;2;-;-;-;-;8
"170600 COUTO MAGALHAES";-;-;-;-;-;-;-;-;1;-;1;-;-;2
"170625 CRIXAS DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"170650 DARCINOPOLIS";-;-;-;-;2;-;-;-;1;1;-;1;-;5
"170700 DIANOPOLIS";-;-;-;-;2;1;-;-;1;2;6;6;-;18
"170710 DIVINOPOLIS DO TOCANTINS";-;-;1;2;2;2;-;-;-;-;-;-;-;7
"170730 DUERE";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"170740 ESPERANTINA";-;1;-;-;1;-;2;1;-;-;-;-;-;5
"170755 FATIMA";-;-;-;-;-;-;-;-;-;-;1;1;1;3
"170770 FILADELFIA";-;-;-;1;-;-;1;1;2;1;-;1;-;7
"170820 FORMOSO DO ARAGUAIA";-;-;-;-;-;1;-;-;-;2;-;1;-;4
"170830 GOIANORTE";-;1;-;1;2;-;-;-;-;-;1;-;-;5
"170900 GOIATINS";-;-;1;1;-;-;2;5;-;3;4;1;2;19
"170930 GUARAI";-;-;-;-;-;-;-;3;11;17;7;8;2;48
"170950 GURUPI";-;6;3;2;3;1;4;1;1;-;2;1;1;25
"171070 ITAGUATINS";-;-;-;-;-;-;1;-;-;2;-;-;-;3
"171110 ITAPORA DO TOCANTINS";-;2;5;10;35;49;29;17;5;5;1;5;1;164
"171150 JAU DO TOCANTINS";-;3;-;-;-;-;-;-;1;-;-;-;-;4
"171180 JUARINA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"171190 LAGOA DA CONFUSAO";-;-;-;-;-;1;1;2;2;6;2;-;-;14
"171195 LAGOA DO TOCANTINS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"171215 LAVANDEIRA";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"171245 LUZINOPOLIS";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"171250 MARIANOPOLIS DO TOCANTINS";6;12;1;6;-;2;1;2;3;-;1;1;-;35
"171280 MAURILANDIA DO TOCANTINS";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"171320 MIRACEMA DO TOCANTINS";-;-;-;-;-;1;-;-;-;1;2;-;-;4
"171360 MONTE DO CARMO";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"171380 PALMEIRAS DO TOCANTINS";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"171395 MURICILANDIA";-;-;1;-;-;-;-;-;3;-;1;-;-;5
"171420 NATIVIDADE";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"171430 NAZARE";-;1;1;-;-;-;-;-;2;-;-;-;-;4
"171488 NOVA OLINDA";3;1;-;9;11;4;-;-;-;1;-;-;-;29
"171500 NOVA ROSALANDIA";-;-;-;2;-;-;2;-;-;-;-;-;-;4
"171510 NOVO ACORDO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"171570 PALMEIRANTE";-;-;-;-;-;-;-;-;3;-;-;1;-;4
"171575 PALMEIROPOLIS";-;1;4;3;6;3;10;11;5;11;7;7;-;68
"171610 PARAISO DO TOCANTINS";1;1;1;4;2;-;2;1;1;-;-;-;-;13
"171620 PARANA";-;-;-;-;-;-;-;-;-;2;-;1;-;3
"171630 PAU D'ARCO";1;-;1;-;-;-;3;1;-;-;-;-;-;6
"171650 PEDRO AFONSO";-;-;1;-;1;3;-;-;1;1;-;-;-;7
"171660 PEIXE";-;-;-;1;-;-;3;5;-;-;-;-;-;9
"171670 COLMEIA";-;-;-;-;-;-;-;1;1;1;1;1;-;5
"171700 PINDORAMA DO TOCANTINS";-;-;1;1;-;1;1;1;-;-;2;3;-;10
"171720 PIRAQUE";-;1;1;1;2;-;-;-;-;-;-;-;-;5
"171750 PIUM";1;1;-;-;-;5;-;1;-;-;-;-;-;8
"171780 PONTE ALTA DO BOM JESUS";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"171790 PONTE ALTA DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"171820 PORTO NACIONAL";1;1;-;3;-;2;4;5;-;2;3;2;-;23
"171830 PRAIA NORTE";-;1;-;-;1;-;-;3;1;-;2;1;-;9
"171845 PUGMIL";-;1;1;1;2;1;-;-;-;-;-;-;-;6
